src_id,src_fragment,src_label,relation,dst_id,dst_fragment,dst_label,confidence,evidence,note
apk:lib/arm64-v8a/libapp.so,apk,lib/arm64-v8a/libapp.so,byte_identical_to,repo:binaries/libapp.so,repo,binaries/libapp.so,proven,sha256 both sides = 2d3577fbaaacc7cb63e5b04a5a21572eeee1e0d55b223941d6a5496a91a427c8,
apk:lib/arm64-v8a/libapp.so,apk,lib/arm64-v8a/libapp.so,member_of,apk:SNAKE.apk,apk,apks/SNAKE.apk,proven,"zip central directory entry, 5,637,024 bytes, CRC verified by testzip()",
apk:lib/arm64-v8a/libengine.so,apk,lib/arm64-v8a/libengine.so,byte_identical_to,repo:binaries/libengine.so,repo,binaries/libengine.so,proven,sha256 both sides = f5d751e6bde8f0595eda9836338e845b029a41d2362743a2a4619ba99f41e3be,
apk:lib/arm64-v8a/libengine.so,apk,lib/arm64-v8a/libengine.so,member_of,apk:SNAKE.apk,apk,apks/SNAKE.apk,proven,"zip central directory entry, 8,544,568 bytes, CRC verified by testzip()",
apk:lib/arm64-v8a/libflutter.so,apk,lib/arm64-v8a/libflutter.so,byte_identical_to,repo:flutter_libs/libflutter.so,repo,flutter_libs/libflutter.so,proven,sha256 both sides = 0baa710d6b7f7de2f8bcc05aa2950bab2989f3a4c95bc7f7bcc23ce84626ee52,
apk:lib/arm64-v8a/libflutter.so,apk,lib/arm64-v8a/libflutter.so,member_of,apk:SNAKE.apk,apk,apks/SNAKE.apk,proven,"zip central directory entry, 10,714,752 bytes, CRC verified by testzip()",
apk:classes.dex,apk,classes.dex,member_of,apk:SNAKE.apk,apk,apks/SNAKE.apk,proven,"sha256=e2b1fb586a9a85b4f094340458ea350eb1faafd602b8a4a287d4b3b97297af11, 3,881,048 bytes",
apk:AndroidManifest.xml,apk,AndroidManifest.xml,member_of,apk:SNAKE.apk,apk,apks/SNAKE.apk,proven,package=com.snake versionName=2.2.6,
repo:binaries/libengine.so,repo,binaries/libengine.so,same_bytes_as,apk:lib/arm64-v8a/libengine.so,apk,lib/arm64-v8a/libengine.so,proven,sha256 f5d751e6bde8f0595eda9836338e845b029a41d2362743a2a4619ba99f41e3be on both sides,
repo:binaries/libapp.so,repo,binaries/libapp.so,same_bytes_as,apk:lib/arm64-v8a/libapp.so,apk,lib/arm64-v8a/libapp.so,proven,sha256 2d3577fbaaacc7cb63e5b04a5a21572eeee1e0d55b223941d6a5496a91a427c8 on both sides,
repo:flutter_libs/libflutter.so,repo,flutter_libs/libflutter.so,same_bytes_as,apk:lib/arm64-v8a/libflutter.so,apk,lib/arm64-v8a/libflutter.so,proven,sha256 0baa710d6b7f7de2f8bcc05aa2950bab2989f3a4c95bc7f7bcc23ce84626ee52 on both sides,
apk:AndroidManifest.xml,apk,AndroidManifest.xml,declares_application,dex:Lcom/snake/App;,dex,Lcom/snake/App;,proven,"manifest android:name=""com.snake.App""",
