id,check,severity,kind,title_en,title_th,evidence,impact,fix
C14-pinned-identity,C14 guest identity,P0,design,"the chain-check diagnostic binds :p0 to a fake package ('com.aether.test.chaincheck', hard-coded slot 0) and GuestProcessHolder.config is NEVER cleared, while ProxyActivity applies a p3-first rule that lets that stale config OVERRIDE the intent's target_package. Two live triggers reach the poisoned slot: (a) AetherOrchestrator still dispatches 'else 0' -> P0 when allocate() finds no free slot, and (b) allocate() only skips a slot when getRunningAppProcesses() happens to report it (null/empty -> slot 0). Either way :p0 loads a package that is not installed and finishes","ปุ่ม chain-check ผูก :p0 ไว้กับ package ปลอม ('com.aether.test.chaincheck', slot 0 แบบ hardcode) และ GuestProcessHolder.config ไม่เคยถูกล้าง ขณะที่ ProxyActivity ใช้กฎ p3-first ให้ config เก่าตัวนั้นชนะ target_package ใน intent - มี 2 ทางที่พาไปเจอ slot ที่ปนเปื้อน: (ก) AetherOrchestrator ยัง dispatch 'else 0' -> P0 เมื่อ allocate() หา slot ว่างไม่เจอ (ข) allocate() ข้าม slot ก็ต่อเมื่อ getRunningAppProcesses() รายงานมัน (null/ว่าง -> ได้ slot 0) ทั้งสองทางทำให้ :p0 พยายามโหลด package ที่ไม่ได้ติดตั้งแล้ว finish ตัวเอง","EngineBridge.kt:410 (providerAuthority(0)) + :413 (fake pkg); GuestProcessRegistry.kt:192 (config set) / :186 (reject path, no reset); ProxyActivity.kt:37 (p3-first override); AetherOrchestrator.kt:529 ('else 0' fallback)",'press Play -> bounce back to the same screen' with no error shown; commit 8c51880 already records this failure mode (':p0 ที่ chaincheck ปินไว้') but only fixed the handshook branch - the no-slot fallback and the missing reset are still there,"three fixes, in order: (1) give GuestProcessHolder a reset()/rebind() and call it when handleInit sees a different package instead of rejecting; (2) make the diagnostic use its OWN slot (MAX_SLOTS-1) and never the guest's slot 0; (3) in ProxyActivity, treat a p3/intent mismatch as an error (finish with a reported reason) instead of silently loading the stale identity"
C2-bounce-guard,C2 boot path,P0,design,"ProxyActivity.onCreate has 3 distinct silent-exit paths (swap-miss guard, load-failure finish, non-virtual finish) - all of them return the user to the home screen with no on-screen reason","ProxyActivity.onCreate มีทางจบแบบเงียบ 3 ทาง (guard ตอน swap ไม่เกิด, finish ตอน load fail, finish โหมด non-virtual) - ทั้ง 3 ทางพาผู้ใช้กลับหน้าเดิมโดยไม่บอกเหตุผลบนจอ","ProxyActivity.kt:102 (guard), :194 (launch-failed finish)",this is exactly the reported symptom: กดปุ่มรันเกมแล้วเด้งกลับหน้าเดิม,"surface the failure: write the reason to DiagLog AND return it through the channel (launchInSandbox should return a String/Map, not Boolean) so the UI can show which of the 3 paths fired"
C4-false-telemetry,C4 native implementation,P0,consistency,"AetherOrchestrator logs 'VirtualFS: IO enabled, N redirect rules registered' but Engine.enableIO() and Engine.addIORule() are empty C++ stubs - no path is ever redirected natively","AetherOrchestrator log ว่า 'VirtualFS: IO enabled, N redirect rules registered' แต่ enableIO()/addIORule() เป็น stub ว่างใน C++ - ไม่มี path redirect เกิดจริง",AetherOrchestrator.kt:137 vs aether_core.cpp enableIO/addIORule,the UI diagnostic (testVirtualFS / getVirtualAppStatus) reports a working virtual FS that does not exist; guest file I/O lands on host paths,"wire enableIO/addIORule to layer/bindmount/virtual_fs.cpp (already written, see C5-orphans) and make the Kotlin log report the native return value"
C4-hollow-chain,C4 native implementation,P0,substance,"4 of the 5 chain-required JNI hops are registered and called from the 'correct' Kotlin file, but their C++ bodies do nothing: nativeInitContext (SNAKE Native.ic (hop17, yu0.f after loadLibrary), aether_core.cpp:185 = LOG-ONLY); nativeProcessPair (SNAKE Native.ac (hop23, b8.callActivityOnResume), aether_core.cpp:182 = LOG-ONLY); nativeProcessTriple (SNAKE Native.pjowqpxe (hidden dex), aether_core.cpp:183 = LOG-ONLY); nativeReflectUpdate (SNAKE Native.update (hidden dex, MethodUtils), aether_core.cpp:184 = LOG-ONLY)","hop ระดับ native 4 จาก 5 ตัวที่ gate รับรองว่า 'วางถูกตำแหน่ง' มี body ว่างเปล่า: nativeInitContext (SNAKE Native.ic (hop17, yu0.f after loadLibrary), aether_core.cpp:185 = LOG-ONLY); nativeProcessPair (SNAKE Native.ac (hop23, b8.callActivityOnResume), aether_core.cpp:182 = LOG-ONLY); nativeProcessTriple (SNAKE Native.pjowqpxe (hidden dex), aether_core.cpp:183 = LOG-ONLY); nativeReflectUpdate (SNAKE Native.update (hidden dex, MethodUtils), aether_core.cpp:184 = LOG-ONLY)",aether-native/src/main/cpp/aether_core.cpp,scripts/native_chain_parity.py prints PASS ('ทุก hop chain-required ... call-site ถูกตำแหน่ง') while the native layer contributes zero behaviour - a green gate over a hollow chain,"extend the gate: after placement, assert the C++ body is not EMPTY/LOG-ONLY; then implement the hops (or record them as deliberately no-op in the gate output instead of PASS)"
C6-no-exemption,C6 hidden API,P0,substance,"the boot chain reflects into 20 restricted framework members (Activity.mActivityInfo, Activity.mResources, Activity.mTheme, ActivityThread.currentActivityThread, ActivityThread.mAllApplications, ActivityThread.mInitialApplication, ActivityThread.mInstrumentation, AppBindData.processName, AppCompatActivity.mDelegate, AssetManager.addAssetPath, ContextImpl.mApplicationInfo, ContextImpl.mPackageInfo, ContextWrapper.mBase, IActivityManagerSingleton, LoadedApk.mApplication, LoadedApk.mCredentialProtectedDataDirFile, LoadedApk.mDataDirFile, LoadedApk.mDeviceProtectedDataDirFile, ServiceManager.sCache, Singleton.mInstance) and the repo contains no hidden-API exemption/bypass anywhere (0 hits for setHiddenApiExemptions / VMRuntime / hiddenapi in 85 source files)","chain การ boot ยิง reflection เข้า framework member ที่ถูกจำกัด 20 จุด (Activity.mActivityInfo, Activity.mResources, Activity.mTheme, ActivityThread.currentActivityThread, ActivityThread.mAllApplications, ActivityThread.mInitialApplication, ActivityThread.mInstrumentation, AppBindData.processName, AppCompatActivity.mDelegate, AssetManager.addAssetPath, ContextImpl.mApplicationInfo, ContextImpl.mPackageInfo, ContextWrapper.mBase, IActivityManagerSingleton, LoadedApk.mApplication, LoadedApk.mCredentialProtectedDataDirFile, LoadedApk.mDataDirFile, LoadedApk.mDeviceProtectedDataDirFile, ServiceManager.sCache, Singleton.mInstance) แต่ทั้ง repo ไม่มีการขอ hidden-API exemption เลย (0 hit ใน 85 ไฟล์)",Activity.mActivityInfo -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/AetherInstrumentation.kt:276; Activity.mResources -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/AetherInstrumentation.kt:193; Activity.mTheme -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/AetherInstrumentation.kt:262; ActivityThread.currentActivityThread -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/AetherInstrumentation.kt:63; ActivityThread.mAllApplications -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/VirtualAppLoader.kt:208; ActivityThread.mInitialApplication -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/VirtualAppLoader.kt:202; ActivityThread.mInstrumentation -> aether-android/aether-app/src/main/kotlin/com/aether/engine/proxy/AetherInstrumentation.kt:64; AppBindData.processName -> aether-core/src/main/kotlin/com/aether/GuestRuntime.kt:254,"on Android 9+ every blocked member throws NoSuchField/NoSuchMethod; each site is wrapped in try/catch, so the chain degrades silently to 'passthrough' and ProxyActivity finishes -> the UI bounces back with no error","install an exemption once per process before any hook runs - the JNI slots for it already exist and are empty: Engine.setAccessible(Field)/setAccessible(Method) (see C3-dead-natives); call them from AetherApp.onCreate right after EngineLoader.load(), then re-check with the chainCheck button"
C9-hookA-dead,C9 activity virtualization,P0,design,"AetherInstrumentation.execStartActivity is declared WITHOUT 'override' - it is a new method on the subclass, so ActivityThread (which calls the framework Instrumentation.execStartActivity overloads) never dispatches to it; rewriteToStub() therefore never runs",AetherInstrumentation.execStartActivity ประกาศโดยไม่มี 'override' - เป็น method ใหม่ของ subclass จึงไม่มีทางที่ ActivityThread จะเรียก; rewriteToStub() ไม่เคยทำงาน,"AetherInstrumentation.kt:382 (declaration), :392 (rewriteToStub call)",Hook A is the mechanism that keeps every SUBSEQUENT guest activity launch inside the sandbox. Without it only the first (bootstrap) launch is stubbed; the moment the guest starts another activity AMS resolves it to the real installed app or fails -> visible as 'game does not boot / bounces back',"implement Hook A the way VirtualApp does: replace ActivityThread.mInstrumentation AND hook the IActivityManager/ATMS binder proxy (ServiceBinderProxy already wraps 'activity'), rewriting the Intent inside the binder call - or delete execStartActivity and stop documenting it as an active hook"
C10-abspath-native_chain_parity.py,C10 gate reproducibility,P1,consistency,scripts/native_chain_parity.py:13 hard-codes the absolute path /var/minis/workspace/codes/Codes/SnakeLogic/fragments/F2_dex_natives.txt (exists on this machine: False),scripts/native_chain_parity.py:13 ฝัง path แบบ absolute /var/minis/workspace/codes/Codes/SnakeLogic/fragments/F2_dex_natives.txt (มีอยู่จริงบนเครื่องนี้: False),scripts/native_chain_parity.py:13,"the gate crashes with FileNotFoundError on any other checkout, and preflight G3b counts that crash as FAIL for the wrong reason - the parity claim is unverifiable for anyone else","resolve the evidence directory from an env var / CLI flag with a repo-relative default, and vendor the needed fragment (F2) under reference/"
C10-missing-evidence,C10 gate reproducibility,P1,evidence,"source/comments cite 4 document(s) that are not committed anywhere in the repo: DATA_DUMP.md, NATIVE_CALLSITE_MAP.md, NATIVE_LOGIC.md, REPORT.md","โค้ด/คอมเมนต์อ้างถึงเอกสาร 4 ชิ้นที่ไม่ได้ commit ไว้ใน repo: DATA_DUMP.md, NATIVE_CALLSITE_MAP.md, NATIVE_LOGIC.md, REPORT.md",grep of *.kt/*.py/*.md/*.sh vs docs/ inventory,"the SNAKE parity claims (a7.m / jv0.P2 / jv0.O2 / b8 hop numbers, '_Engine_|_init_process_' schema) rest on these transcripts; nobody can re-verify them, and the committed evidence in Codes/SnakeLogic does NOT contain the strings they quote",commit the transcripts under reference/ (or link the Codes/SnakeLogic fragment that does contain the fact) and mark every claim that has no committed evidence as UNVERIFIED
C11-degraded-only,C11 test coverage,P1,coverage,"3 tests touch chain entry points (bindToActivityThread, installProviders, newActivity) but the AOSP test stub makes ActivityThread.currentActivityThread() return null, so every one of them asserts the DEGRADED path (install() == false, bind refused) - the success path of the boot chain has no automated coverage at all","test 3 เคสแตะ entry point ของ chain (bindToActivityThread, installProviders, newActivity) แต่ stub AOSP ทำให้ currentActivityThread() คืน null ทุกเคสจึงยืนยันเฉพาะ path ที่ degraded (install() == false, bind ถูกปฏิเสธ) - path ที่สำเร็จของ chain การ boot ไม่มี test เลย",aether-android/test-stubs/android/app/ActivityThread.kt + aether-android/aether-app/src/test/kotlin/com/aether/engine/proxy/AetherInstrumentationTest.kt; aether-core/src/test/kotlin/com/aether/GuestRuntimeTest.kt; aether-core/src/test/kotlin/com/aether/GuestRuntimeTest.kt,"CI green == 'the chain fails safely', not 'the chain works'; that is why every regression is only found on a device",introduce a seam (interface for the framework probes) with two stubs - one that returns null and one that returns a fake ActivityThread - and assert BOTH paths
C13-binder-restore-only,C13 internal contradictions,P1,consistency,"AetherOrchestrator.shutdown() restores the binder PID/UID overrides, but setBinderCallingPidOverride/setBinderCallingUidOverride are never called anywhere - the guest's binder calls always carry the HOST uid",shutdown() คืนค่า binder PID/UID override ทั้งที่ setBinderCallingPidOverride/setBinderCallingUidOverride ไม่เคยถูกเรียก - binder call ของ guest จึงถือ uid ของ host เสมอ,AetherOrchestrator.kt:568,"every guest SDK binder call is attributed to com.aether; this is precisely the SecurityException storm the ProxyActivity 'guest thread firewall' was written to swallow, so the root cause is masked instead of fixed",call setBinderCalling*Override when the guest identity is installed (VirtualAppContainer.init guest-upgrade path) and keep the restore in shutdown
