spine_seq,tier,tier_name,kind,src,dst,conf,via,collapsed,evidence,source,ref_checks,note_th,note_en
1,T0,framework,framework_dispatch,com.android.internal.os.ZygoteInit.main (line:406),com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run (line:9),shape,,0,"captured KOS/Kaori module-host stack, frame 19 -> frame 18",fragments/F9_kos_boot_stack.txt,PASS F9 frame 19 -> com.android.internal.os.ZygoteInit.main | PASS F9 frame 18 -> com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run,เฟรม 19 -> 18 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
2,T0,framework,framework_dispatch,com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run (line:9),java.lang.reflect.Method.invoke (line:-2),shape,,0,"captured KOS/Kaori module-host stack, frame 18 -> frame 17",fragments/F9_kos_boot_stack.txt,PASS F9 frame 18 -> com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run | PASS F9 frame 17 -> java.lang.reflect.Method.invoke,เฟรม 18 -> 17 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
3,T0,framework,framework_dispatch,java.lang.reflect.Method.invoke (line:-2),android.app.ActivityThread.main (line:165),shape,,0,"captured KOS/Kaori module-host stack, frame 17 -> frame 16",fragments/F9_kos_boot_stack.txt,PASS F9 frame 17 -> java.lang.reflect.Method.invoke | PASS F9 frame 16 -> android.app.ActivityThread.main,เฟรม 17 -> 16 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
4,T0,framework,framework_dispatch,android.app.ActivityThread.main (line:165),android.os.Looper.loop (line:34),shape,,0,"captured KOS/Kaori module-host stack, frame 16 -> frame 15",fragments/F9_kos_boot_stack.txt,PASS F9 frame 16 -> android.app.ActivityThread.main | PASS F9 frame 15 -> android.os.Looper.loop,เฟรม 16 -> 15 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
5,T0,framework,framework_dispatch,android.os.Looper.loop (line:34),android.os.Looper.loopOnce (line:251),shape,,0,"captured KOS/Kaori module-host stack, frame 15 -> frame 14",fragments/F9_kos_boot_stack.txt,PASS F9 frame 15 -> android.os.Looper.loop | PASS F9 frame 14 -> android.os.Looper.loopOnce,เฟรม 15 -> 14 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
6,T0,framework,framework_dispatch,android.os.Looper.loopOnce (line:251),android.os.Handler.dispatchMessage (line:21),shape,,0,"captured KOS/Kaori module-host stack, frame 14 -> frame 13",fragments/F9_kos_boot_stack.txt,PASS F9 frame 14 -> android.os.Looper.loopOnce | PASS F9 frame 13 -> android.os.Handler.dispatchMessage,เฟรม 14 -> 13 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
7,T0,framework,framework_dispatch,android.os.Handler.dispatchMessage (line:21),android.app.ActivityThread$H.handleMessage (line:1340),shape,,0,"captured KOS/Kaori module-host stack, frame 13 -> frame 12",fragments/F9_kos_boot_stack.txt,PASS F9 frame 13 -> android.os.Handler.dispatchMessage | PASS F9 frame 12 -> android.app.ActivityThread$H.handleMessage,เฟรม 13 -> 12 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
8,T0,framework,framework_dispatch,android.app.ActivityThread$H.handleMessage (line:1340),android.app.ActivityThread.-$$Nest$mhandleBindApplication (line:0),shape,,0,"captured KOS/Kaori module-host stack, frame 12 -> frame 11",fragments/F9_kos_boot_stack.txt,PASS F9 frame 12 -> android.app.ActivityThread$H.handleMessage | PASS F9 frame 11 -> android.app.ActivityThread.-$$Nest$mhandleBindApplication,เฟรม 12 -> 11 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
9,T0,framework,framework_dispatch,android.app.ActivityThread.-$$Nest$mhandleBindApplication (line:0),android.app.ActivityThread.handleBindApplication (line:1090),shape,,0,"captured KOS/Kaori module-host stack, frame 11 -> frame 10",fragments/F9_kos_boot_stack.txt,PASS F9 frame 11 -> android.app.ActivityThread.-$$Nest$mhandleBindApplication | PASS F9 frame 10 -> android.app.ActivityThread.handleBindApplication,เฟรม 11 -> 10 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
10,T0,framework,framework_dispatch,android.app.ActivityThread.handleBindApplication (line:1090),android.app.LoadedApk.makeApplicationInner (line:1),shape,,0,"captured KOS/Kaori module-host stack, frame 10 -> frame 9",fragments/F9_kos_boot_stack.txt,PASS F9 frame 10 -> android.app.ActivityThread.handleBindApplication | PASS F9 frame 9 -> android.app.LoadedApk.makeApplicationInner,เฟรม 10 -> 9 ของสแตกที่จับได้ (โครงรูป ไม่ใช่ไบต์ SNAKE),"frame %d -> %d of the captured stack (shape only, not SNAKE bytes)"
